palette_name,colors
Palette_1,"#023faa,#f3de68,#ba1ae4,#8ecaf8,#ae9ab6"
Palette_2,"#e88eb6,#21dd51,#8c771e,#f6386b,#715d9e"
Palette_3,"#14af2f,#aac1d3,#5a7d0d,#1ecb92,#65c3d1"
Palette_4,"#03f1c6,#5da284,#c5e716,#98c929,#c7ac09"
Palette_5,"#5bc97d,#c9a81d,#016bfb,#7a2e3c,#287276"
Palette_6,"#639999,#f9274e,#4ab7e2,#27cddd,#11d3b7"
Palette_7,"#0947b4,#a8285f,#6d8732,#51dcb8,#59ce34"
Palette_8,"#89483f,#bad630,#7ff462,#014447,#09bc7f"
Palette_9,"#b5d05f,#04ada2,#e8fdf6,#7ec631,#b235cc"
Palette_10,"#24012c,#d2b08f,#e6e979,#629c5c,#6fcc0e"
Palette_11,"#6320bb,#4191f1,#236756,#8ce776,#8d281e"
Palette_12,"#68f006,#e8aca2,#01b2fe,#f07642,#aa299d"
Palette_13,"#dd22b2,#c0b3c1,#e34098,#0fa5a1,#f132a4"
Palette_14,"#71c802,#1ba3fc,#dec294,#037e4b,#34236a"
Palette_15,"#a99d62,#b66e77,#788f18,#ffd8d7,#d41b7c"
Palette_16,"#8567aa,#82f82e,#afe769,#b27c0b,#96fca1"
Palette_17,"#007ea3,#c17232,#e69139,#ef5d01,#9a4509"
Palette_18,"#e9b7c0,#fb378b,#fccf3f,#6cecbe,#ff50fb"
Palette_19,"#8c9e22,#c4fe19,#4fea9b,#665280,#5dd3e9"
Palette_20,"#b06be0,#0dcd3d,#70bfff,#e79033,#a7ae2f"
Palette_21,"#375818,#0aeacc,#fc2383,#b96ac0,#8bfa8f"
Palette_22,"#71548f,#8b8331,#16a2dd,#1602c0,#a8c29a"
Palette_23,"#82f87a,#0d1fa8,#96016b,#1a71dc,#4c13ab"
Palette_24,"#317734,#c586d7,#d2d66d,#81d385,#f067a9"
Palette_25,"#bceb1c,#d99730,#de5aba,#219ca7,#fccb83"
Palette_26,"#2fdb4e,#ce3e24,#74b67b,#9c3300,#9646c2"
Palette_27,"#22c7f6,#9f48ae,#dd025d,#c549ae,#069546"
Palette_28,"#26c0e6,#512d8e,#ed90b7,#11fea3,#163a24"
Palette_29,"#62b717,#2b4adc,#726537,#da07a8,#c36c96"
Palette_30,"#ca3fe2,#db71af,#6cc6bc,#3a867e,#d00335"
Palette_31,"#50d3d7,#13f1f3,#181ad1,#5cc535,#ebe7d5"
Palette_32,"#c80a93,#81095b,#b849c5,#59f514,#91128a"
Palette_33,"#5f0329,#e648a9,#bec4cc,#b35de6,#f2bc6b"
Palette_34,"#01e621,#1e404c,#382607,#4addc2,#da30b2"
Palette_35,"#3e61b7,#886a5d,#883f15,#07609e,#ee9fd9"
Palette_36,"#06a971,#b63c8f,#3c43ca,#e41fe2,#4583c9"
Palette_37,"#6e3732,#385690,#fde6c2,#a6ac36,#676c20"
Palette_38,"#1f0542,#bad284,#d24b42,#e67979,#80d940"
Palette_39,"#a6dc14,#be5cea,#1a4833,#6ac7c6,#3783e7"
Palette_40,"#8c51dd,#303a1e,#d21ef3,#5c6b36,#b69101"
Palette_41,"#da3a4f,#dce9ff,#f679ac,#a322f1,#6beba5"
Palette_42,"#ac111a,#7ba435,#29e1d1,#b14a21,#1127e4"
Palette_43,"#bcc8a8,#dda9b6,#7875b5,#2d2be2,#9ec046"
Palette_44,"#8ed882,#e27e9d,#f56541,#ee8a90,#8f21f2"
Palette_45,"#a064ef,#e9301b,#3f4268,#8d33b8,#db57a6"
Palette_46,"#fb86f3,#9f0de2,#65d368,#78aa53,#1ea765"
Palette_47,"#fc0aa5,#2d87dd,#8b771a,#f7ec89,#1e2bf4"
Palette_48,"#b7ee81,#8e29cd,#7aa04c,#004ddd,#6a04cd"
Palette_49,"#67720e,#697f15,#e569bb,#436fd6,#657435"
Palette_50,"#29a80e,#59fb35,#810a48,#e4de60,#66748c"
Palette_51,"#7022d4,#c3ed5b,#22a4a4,#68fae9,#069176"
Palette_52,"#716065,#9a8eaa,#972c09,#f8b974,#d54611"
Palette_53,"#f9e782,#78a699,#7805b4,#f075e1,#a25cdd"
Palette_54,"#0580b1,#2a2e61,#35f598,#79f619,#946cdc"
Palette_55,"#c9add7,#1ec0d7,#96fb23,#2faf14,#56d8b8"
Palette_56,"#72cd2f,#740a52,#9b8003,#d0e3f2,#c5e6ab"
Palette_57,"#a64457,#3b020c,#237567,#262593,#58b81b"
Palette_58,"#462b91,#d31764,#610119,#acfe40,#598044"
Palette_59,"#a5a152,#98dc6e,#b6e3fc,#3662f8,#7147e0"
Palette_60,"#f8946e,#ce8389,#d6a36b,#2953f1,#84923d"
Palette_61,"#46a849,#6eac4e,#addaec,#9d7373,#0e389a"
Palette_62,"#5636fc,#604965,#a1170d,#09fb33,#a76479"
Palette_63,"#c61f3a,#d49074,#8474e9,#41460f,#4dde5c"
Palette_64,"#98e74b,#20a3f4,#c4595f,#a43db6,#1ed60c"
Palette_65,"#f959d3,#b14b16,#59391d,#1905f4,#5bd7fb"
Palette_66,"#a9665e,#12bef0,#cb366b,#43d0f9,#c79254"
Palette_67,"#97fa47,#2aca49,#844f73,#d29632,#28246b"
Palette_68,"#a90421,#cd8643,#dc2b6c,#10c5bb,#15c835"
Palette_69,"#e7ebfd,#efff33,#e4463c,#98fdc5,#a0b98d"
Palette_70,"#484711,#84ff63,#5fe5b3,#307bc9,#3a1e3f"
Palette_71,"#b96460,#563371,#b78936,#82dc2c,#28b34e"
Palette_72,"#75cc63,#1e6904,#1fda8f,#fd5df1,#1b09ce"
Palette_73,"#35ae97,#4917e8,#3edec7,#2d0b25,#f8bb90"
Palette_74,"#a86455,#af9ba0,#160068,#bd9b1b,#8a2c56"
Palette_75,"#7944e1,#e41b9a,#5551af,#dcedc9,#728125"
Palette_76,"#f77ae5,#ba1353,#a3aad9,#eb205e,#511b8e"
Palette_77,"#365a26,#74633a,#d19e27,#61d4e7,#539c58"
Palette_78,"#716f9b,#c24746,#259a18,#23cebc,#48a532"
Palette_79,"#6779b6,#c2610f,#0ea5e3,#4b906a,#cd97bc"
Palette_80,"#2a44e2,#99d691,#24f511,#dc204c,#521677"
Palette_81,"#54734d,#990d54,#b7cdfb,#14f0e1,#ddd5a3"
Palette_82,"#7a48a7,#8130bb,#f51aa4,#78e43a,#9f18db"
Palette_83,"#32549b,#369bdd,#09359c,#c1654f,#d9d238"
Palette_84,"#06ba48,#142ee9,#5abff2,#f08a23,#3dfd50"
Palette_85,"#06f7e0,#4efedc,#083cb1,#cd939b,#4c030f"
Palette_86,"#99d54b,#efc017,#ddf9bb,#47be48,#58da7b"
Palette_87,"#08990c,#02cf34,#c7d1a6,#adf2d2,#ef8969"
Palette_88,"#bce76f,#437a9e,#691344,#617e9f,#a26837"
Palette_89,"#ebdfe3,#da14f7,#379a47,#5542cf,#dea7e5"
Palette_90,"#2e1511,#304796,#6ea700,#9588f2,#f0b591"
Palette_91,"#def0c2,#e604e7,#0f521a,#b52dce,#cf23a4"
Palette_92,"#20d037,#8dc11d,#842065,#f84b54,#e2ad84"
Palette_93,"#e32d9a,#723cb0,#890386,#eb8089,#2d30c7"
Palette_94,"#3585f8,#911eaf,#83cf97,#737624,#3eeb02"
Palette_95,"#2c4533,#f684fb,#c359fd,#def645,#fb6ff5"
Palette_96,"#822a20,#af358d,#e4e786,#eefb5d,#b5bb06"
Palette_97,"#046429,#7aa7fb,#1ee63e,#9d719a,#0a7410"
Palette_98,"#38efd5,#5798ce,#06e5f2,#465017,#a0e650"
Palette_99,"#ba9d6f,#413a37,#e7b18e,#61110b,#19afea"
Palette_100,"#40ff5b,#d2325c,#21b499,#f4cd3e,#17fec1"
